#,اسم اللعبة,اسم المجلد,حالة النشر,حالة الفحص,نتيجة الفحص,تاريخ الفحص,جاهزية الإعلانات,ملاحظات الفحص,الرابط,تاريخ الإضافة
1,1 On 1 Soccer,1on1soccer,غير منشورة,تم الفحص,FAIL,2026-02-10,,تعذر بدء اللعبة. اللعبة عالقة في شاشة اختيار الفريق.,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/1on1soccer,2026-02-07
3,1010 Deluxe,1010deluxe,غير منشورة,تم الفحص,FAIL,2026-02-10,,تعذر بدء اللعبة. اللعبة عالقة في شاشة البداية ولا تستجيب للنقر على زر PLAY.,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/1010deluxe,2026-02-07
3,2048 Game,2048,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/2048,2026-02-07
4,3D Bowling Classic,3dbowling,منشورة,تم الفحص,PASS,2026-02-21,,تم النشر بنجاح بواسطة Manus AI,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/3dbowling,2026-02-07
5,3D Free Kick,3d-free-kick,منشورة,تم الفحص,PASS,2026-02-21,,تم النشر بنجاح بواسطة Manus AI,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/3d-free-kick,2026-02-07
6,8 Ball Pool,8ballpool,منشورة,تم الفحص,PASS,2026-02-21,,تم النشر بنجاح بواسطة Manus AI,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/8ballpool,2026-02-07
7,A Small World Cup,a-small-world-cup,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/a-small-world-cup,2026-02-07
8,Adam and Eve 7,adamandeve7,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/adamandeve7,2026-02-07
9,Adventure Drivers: Tropical 2D Racing Game,adventuredrivers,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/adventuredrivers,2026-02-07
10,Alien Invasion,alien-invasion,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/alien-invasion,2026-02-07
11,Awesome Tanks 2,awesometanks2,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/awesometanks2,2026-02-07
